ph,turbidity,dissolved_oxygen,temperature,rainfall,humidity,population_density,sanitation_index,bacterial_count,ecoli_count,chlorine_level,water_source,region_type,season,previous_cases,disease_risk,waterborne_disease
4.87,94.36,2.94,36.05,848.12,71.25,3504.0,24.51,847.0,226.0,0.212,Well,Coastal,Summer,54,High,Cholera
5.68,109.28,4.24,29.57,217.22,97.04,7984.0,32.74,971.0,200.0,0.0,Pond,Rural,Monsoon,51,High,Cholera
7.22,1.99,8.55,21.32,9.85,61.38,218.0,80.99,114.0,2.0,1.457,Tap,Urban,Spring,2,Low,No Disease - Water is Safe
6.01,65.72,3.7,31.43,356.84,88.83,3203.0,27.89,978.0,138.0,0.186,River,Hilly,Monsoon,60,High,Dysentery
7.67,11.27,6.02,27.74,209.75,59.76,1848.0,66.32,417.0,49.0,0.362,Well,Semi-Urban,Spring,23,Medium,Hepatitis A
7.82,9.92,4.82,28.19,193.4,80.93,4851.0,56.26,413.0,49.0,0.858,River,Coastal,Spring,18,Medium,Diarrhea
6.21,18.07,5.94,29.07,108.58,72.2,227.0,55.63,379.0,43.0,0.596,River,Coastal,Summer,16,Medium,Hepatitis A
5.23,42.3,3.95,31.52,686.5,76.03,1191.0,17.79,1130.0,185.0,0.009,Pond,Coastal,Monsoon,47,High,Cryptosporidiosis
7.21,0.15,7.7,20.72,12.35,53.72,70.0,67.69,5.0,3.0,1.406,Lake,Urban,Winter,7,Low,No Disease - Water is Safe
6.71,0.14,8.46,20.97,220.76,50.1,955.0,65.88,12.0,5.0,1.267,Tap,Urban,Winter,4,Low,No Disease - Water is Safe
9.05,84.03,3.1,36.78,293.25,78.79,5389.0,37.01,1675.0,134.0,0.196,Pond,Hilly,Summer,56,High,Cryptosporidiosis
7.46,0.8,10.43,20.55,176.75,42.6,929.0,92.37,26.0,2.0,1.208,Lake,Urban,Winter,3,Low,Safe for Consumption
9.41,29.17,3.75,32.86,462.13,82.19,1662.0,32.05,2197.0,247.0,0.088,River,Coastal,Monsoon,36,High,Dysentery
7.53,1.41,8.32,24.83,1.55,52.77,1276.0,76.5,42.0,15.0,1.647,Groundwater,Urban,Winter,3,Low,Safe for Consumption
7.09,7.74,9.4,21.02,3.08,58.09,91.0,85.81,74.0,2.0,1.765,Groundwater,Urban,Winter,4,Low,Safe for Consumption
7.83,10.43,6.11,32.28,188.8,77.0,435.0,63.92,390.0,37.0,1.056,Lake,Rural,Summer,15,Medium,Giardiasis
7.09,15.51,3.88,27.58,169.48,57.0,723.0,75.08,545.0,44.0,0.907,Well,Semi-Urban,Summer,19,Medium,Typhoid
7.41,3.99,8.19,18.7,12.11,55.45,641.0,88.84,240.0,13.0,1.387,Tap,Urban,Spring,3,Low,Safe for Consumption
5.75,36.52,3.89,33.53,296.81,80.55,11356.0,40.6,1406.0,118.0,0.308,Pond,Coastal,Summer,44,High,Dysentery
7.24,0.3,7.59,21.46,100.26,57.72,217.0,74.28,98.0,6.0,1.195,Tap,Urban,Spring,1,Low,Safe for Consumption
6.77,0.97,9.65,17.37,4.44,47.37,135.0,72.63,225.0,13.0,1.109,Lake,Urban,Spring,3,Low,No Disease - Water is Safe
7.52,16.56,5.68,29.15,102.61,39.01,417.0,49.72,409.0,35.0,0.835,Well,Semi-Urban,Summer,21,Medium,Diarrhea
9.42,26.58,3.49,33.46,273.51,78.29,7623.0,15.14,1629.0,145.0,0.333,Well,Rural,Monsoon,43,High,Cryptosporidiosis
9.12,25.54,3.41,37.36,208.89,81.13,1216.0,20.79,1989.0,199.0,0.233,Pond,Rural,Monsoon,47,High,Cholera
6.66,9.46,5.34,35.75,116.94,63.3,50.0,57.81,482.0,80.0,0.848,Well,Semi-Urban,Summer,19,Medium,Diarrhea
6.76,8.45,6.08,24.34,129.91,48.58,1183.0,53.03,270.0,48.0,0.739,River,Semi-Urban,Summer,24,Medium,Hepatitis A
5.78,35.0,4.46,36.0,160.71,86.41,1967.0,23.47,1798.0,214.0,0.008,Pond,Rural,Monsoon,60,High,E. coli Infection
5.63,57.0,4.5,33.09,272.56,73.57,6548.0,25.69,1689.0,109.0,0.169,River,Rural,Monsoon,52,High,Dysentery
6.54,10.85,6.36,33.8,59.5,68.47,187.0,38.28,416.0,27.0,0.427,River,Coastal,Summer,19,Medium,Hepatitis A
7.8,12.2,6.74,34.01,54.27,71.45,50.0,67.47,477.0,46.0,0.447,River,Rural,Spring,24,Medium,Diarrhea
6.74,16.91,5.93,23.92,186.19,71.2,6247.0,69.28,483.0,47.0,0.202,River,Semi-Urban,Summer,22,Medium,Typhoid
6.91,0.33,8.38,21.09,16.05,53.18,504.0,66.61,21.0,0.0,1.869,Lake,Urban,Spring,4,Low,Safe for Consumption
7.5,1.76,8.37,18.59,202.97,55.24,173.0,81.72,72.0,4.0,1.331,Tap,Urban,Winter,4,Low,Safe for Consumption
9.35,59.83,5.42,33.02,225.63,70.63,6657.0,30.81,1384.0,171.0,0.293,Pond,Rural,Monsoon,48,High,Cryptosporidiosis
7.42,6.26,7.82,25.55,71.92,50.6,309.0,74.58,346.0,21.0,1.398,Groundwater,Urban,Winter,2,Low,Safe for Consumption
6.17,53.67,3.48,35.03,151.98,79.8,14045.0,36.65,1342.0,165.0,0.105,Pond,Rural,Monsoon,37,High,Cholera
5.58,31.72,2.44,31.43,609.7,89.23,2724.0,18.85,1206.0,181.0,0.176,River,Hilly,Monsoon,54,High,Cryptosporidiosis
7.53,3.95,8.27,21.25,34.31,59.26,245.0,76.95,22.0,29.0,1.508,Groundwater,Urban,Spring,3,Low,No Disease - Water is Safe
6.98,0.29,7.94,24.39,42.18,50.05,58.0,80.34,43.0,12.0,1.651,Tap,Urban,Spring,7,Low,Safe for Consumption
7.9,19.17,5.45,35.86,107.03,74.72,1041.0,72.39,467.0,37.0,0.706,Lake,Rural,Summer,16,Medium,Hepatitis A
7.79,4.64,7.78,26.42,14.3,61.67,130.0,96.36,164.0,14.0,1.746,Groundwater,Semi-Urban,Spring,6,Low,No Disease - Water is Safe
7.69,5.33,7.9,21.07,98.29,59.06,1565.0,78.3,133.0,8.0,2.184,Groundwater,Semi-Urban,Winter,7,Low,Safe for Consumption
7.19,0.27,9.41,18.28,7.89,61.12,552.0,70.26,12.0,2.0,0.843,Tap,Semi-Urban,Spring,1,Low,No Disease - Water is Safe
9.69,45.19,3.52,36.77,585.66,93.63,1581.0,35.9,1764.0,126.0,0.184,Well,Rural,Summer,45,High,Cryptosporidiosis
5.78,84.9,2.71,32.92,706.19,90.22,1248.0,28.8,1856.0,198.0,0.234,Pond,Rural,Summer,57,High,Cryptosporidiosis
5.07,46.74,3.0,37.43,289.73,78.08,3883.0,21.21,2053.0,112.0,0.107,Pond,Coastal,Summer,58,High,Cholera
6.73,8.29,5.22,23.16,71.06,78.34,423.0,64.14,402.0,36.0,0.547,River,Semi-Urban,Summer,17,Medium,Giardiasis
8.65,37.64,3.42,33.9,308.04,79.32,3107.0,19.42,861.0,226.0,0.249,Pond,Rural,Monsoon,51,High,Hepatitis E
7.55,1.67,8.49,29.09,72.93,51.41,657.0,68.49,80.0,1.0,1.926,Tap,Urban,Spring,2,Low,No Disease - Water is Safe
7.08,18.88,4.55,29.54,178.85,57.72,91.0,61.0,508.0,64.0,0.857,River,Semi-Urban,Summer,25,Medium,Hepatitis A
7.5,14.22,6.56,27.38,154.54,68.21,1465.0,59.43,289.0,29.0,0.753,Well,Rural,Summer,15,Medium,Diarrhea
6.82,0.55,8.33,19.36,53.84,43.06,209.0,75.77,30.0,1.0,1.368,Lake,Urban,Spring,0,Low,No Disease - Water is Safe
8.61,46.27,4.3,32.88,942.1,74.82,3494.0,25.86,878.0,153.0,0.213,Well,Hilly,Summer,42,High,Cryptosporidiosis
8.98,104.19,3.35,36.01,292.3,92.79,3307.0,32.26,1129.0,208.0,0.234,Pond,Rural,Summer,31,High,E. coli Infection
7.49,10.11,5.87,36.45,255.15,99.53,108.0,63.93,529.0,34.0,0.618,Lake,Rural,Summer,21,Medium,Giardiasis
7.08,17.38,6.7,31.26,172.43,40.99,832.0,57.69,532.0,36.0,1.1,River,Semi-Urban,Spring,16,Medium,Diarrhea
7.49,1.73,7.25,23.36,79.28,56.85,1627.0,70.63,41.0,12.0,1.22,Tap,Urban,Winter,3,Low,Safe for Consumption
4.71,84.55,1.07,34.08,208.34,82.48,4645.0,28.06,1623.0,89.0,0.18,Pond,Rural,Monsoon,51,High,E. coli Infection
5.77,45.98,4.01,35.41,213.12,75.38,1621.0,45.1,1384.0,195.0,0.269,River,Hilly,Summer,50,High,Hepatitis E
7.29,0.04,9.95,22.75,130.23,53.53,962.0,80.15,150.0,16.0,1.045,Lake,Urban,Spring,5,Low,No Disease - Water is Safe
